ID,latitude,longitude
1861,0.51899,34.24448
1862,0.6308,34.37555
1863,0.61036,34.32393
1864,0.70583,34.39733
1865,0.5871,34.23404
1866,0.68334,34.38842
1867,-0.33661,34.35198
1868,-0.21855,34.30245
1869,-0.35686,34.68321
1870,-0.3521,34.77418
1871,0.7052,34.3354
1872,0.62048,34.24144
1873,0.61396,34.22643
1874,0.5525,34.24512
1875,0.73106,34.3539
1876,0.66748,34.34085
1877,0.70195,34.38123
1878,0.61084,34.37232
1887,13.912,-4.6537
1888,16.7087,-2.98592
1891,12.5,-1.33333
1892,12.16667,-0.35
1893,11.15,-4.28333
1894,11,-4.04583
1895,12.5,-1.33333
1896,12.16667,-0.35
1897,11.15,-4.28333
1898,11,-4.04583
1899,12.5,-1.33333
1900,12.16667,-0.35
1901,11.15,-4.28333
1902,11,-4.04583
1906,-0.06115,34.33485
1907,0.01118,34.11065
1908,-0.08432,34.33528
1909,-0.02994,34.01295
1910,-0.23878,34.25207
1911,-0.10549,34.16853
1912,-0.28012,34.299
1913,-0.17426,34.34519
1914,-0.17955,34.36904
1915,-0.3945,34.29017
1916,-0.34709,34.29524
1917,-0.32816,34.26666
1918,-0.1956,34.17509
1919,-0.16501,34.42804
1920,-0.08225,34.38567
1921,-0.05977,34.09323
1922,-0.08155,34.17182
1923,-0.16892,34.1437
1924,-0.33661,34.35198
1925,-0.21855,34.30245
1926,-0.06115,34.33485
1927,0.01118,34.11065
1928,-0.08432,34.33528
1929,-0.02994,34.01295
1930,-0.23878,34.25207
